basePrice,occupancy,leadTimeDays,season_encoded,isWeekend,competitorPrice,amenitiesCount,roomType_encoded,isReturningGuest,finalPrice
20603.385585826036,0.3355351153623154,25.458673598045657,0,0,36852.59242552759,4,6,0,27590.10690442018
47683.57240126606,0.32228091916479984,49.10925765292195,0,0,35302.301207417004,18,5,0,78076.12184780803
37403.71526513604,0.915629122468933,42.833613640365,2,0,7500.44733717781,5,1,1,60507.3692171075
31136.94875726072,0.3245915798645555,5.013528312296669,0,0,46360.903030572605,16,6,1,44550.18940685266
10332.876100794518,0.3447547535157679,4.8490902695313665,0,0,29718.193501370522,14,6,1,14990.583367545214
10331.742455801525,0.7834584361761673,9.366390020954558,2,0,20095.099493377158,19,6,0,22729.833402763357
5729.929771905375,0.504765858205486,13.439033222209678,3,0,38557.31342427941,14,5,1,12605.845498191826
43710.27885142195,0.799039501259663,15.75055510661682,3,0,15096.1765448768,9,1,0,82114.95511145922
31252.405551930813,0.15882954180794673,34.15465599465454,0,0,35594.96234117706,6,4,0,37212.26409923914
36279.411156414135,0.5388140743060459,1.7505050856413766,0,1,4866.42675589562,17,3,0,73681.41130153413
3967.471231902715,0.13025224016495437,1.0586420562608898,2,0,42452.17776763578,19,3,0,6219.925101281897
48585.763051613736,0.15638788310981908,14.922999222389215,2,0,24064.029810001968,12,1,1,84617.00673801453
42124.804117619824,0.9157937080099698,35.83688572599243,3,0,32924.56697482326,4,6,0,82399.72899625066
12979.93820187898,0.22532083400583566,6.449136441196317,1,0,13398.177530914132,16,0,0,22699.7675951048
11545.773458733729,0.5791786140476954,30.775173571140787,0,0,34822.46449494705,11,1,0,18295.67734627459
11620.01196311139,0.4699860423406359,9.026186211666985,1,0,39295.292966984,4,1,0,14805.733049805423
17299.385419098275,0.41260899363295844,65.16937369411282,1,1,25241.01978356674,17,3,0,37305.646603527974
27663.552286715178,0.9098500111185452,67.81162529967368,2,1,32033.165430904333,8,2,0,50160.22854405808
23301.415876179442,0.11964105709794055,10.58421034763337,0,1,24447.318419652733,14,0,0,40205.353214692106
